id,saleprice
2,116188.95301671211
4,259603.84668817482
6,200847.26674835815
7,227729.67302811585
17,235146.28343369512
18,332410.4982720219
22,203281.6909079092
27,110951.42904419494
31,113134.35115693645
36,174099.2311933517
39,336599.8902798666
40,251445.1362982164
42,292714.21542378364
46,224739.63431875344
53,187731.25873344546
58,200546.49434528843
61,290808.68511157116
72,214361.8645896893
79,134308.09784228134
80,215055.78583299438
82,172456.4582571817
83,93823.5759750961
85,154473.72830169782
88,118450.74292162337
92,282142.4979216704
93,290840.64301796805
95,188865.33554561395
102,172152.30019727125
103,193446.6111087863
106,251072.06190203957
107,184064.96928131045
110,231632.58714974025
114,202590.75845789735
116,195567.28108847496
117,165248.88418437162
118,138892.757025041
125,153141.25995673623
126,171233.38054386966
127,120410.15857587365
128,207303.05665026116
134,131664.78410706605
135,172775.95044013756
137,259950.55411390116
143,130400.69339304746
147,127560.3273115026
148,188433.97994060526
150,101351.4962296721
156,139416.2804351589
157,113371.09859448337
159,165205.82241903176
161,272797.1379543224
167,133035.98605932284
170,121602.79938525987
171,81036.00611785018
175,73124.62031114056
179,136722.10296618773
181,107287.85302085544
186,216190.3075333801
193,211730.967647046
194,64742.41311895652
206,112230.18217684017
208,160818.52033883668
210,167437.71793000208
211,92464.80383918196
212,107279.65723751577
214,81038.80349946787
215,143088.19332821894
217,119328.09565357372
222,141005.29445145273
227,158446.3079870085
228,172582.82156330795
233,217504.13330558222
235,109678.54089223972
238,126518.7852848953
241,174058.53656316642
252,206436.6598654092
253,196339.60724433954
256,151259.1726120402
257,145855.3718841388
258,217946.60551586456
259,185377.73842317078
261,145690.86431238527
263,123473.79072664026
266,229959.17381896637
267,238355.37602942323
270,155480.46064453223
271,256876.06456098257
276,120075.92857904651
285,159504.3170401952
288,49274.444753502146
289,124859.05978988891
290,126263.5334182705
291,124707.74191294383
292,108743.71147475409
293,200136.34210758485
294,224213.02523105504
295,179611.01998331991
304,126477.42484611762
322,323354.99871453387
326,173327.4875062109
327,98109.39450570817
328,133117.65659234612
331,61347.50097108107
332,72625.40322895264
333,92324.48580521147
335,126798.40645120238
337,189058.81975707345
342,125943.17192168385
343,191267.03578182304
347,204517.18666319177
350,334780.93369294074
352,226051.99689325882
358,179098.25272148548
359,186312.52965379765
360,170837.46316708747
368,293131.5605065137
369,241813.196144182
373,211650.0914698321
377,259398.6378289304
383,179900.84312783598
386,242341.905529342
387,246180.4974000153
390,189961.99892259194
391,169833.81195593067
395,159779.41303945513
397,121958.15469168249
398,113059.24776466617
401,106992.0954113919
404,143742.07896389806
408,120816.06928984285
409,153732.72744469048
410,175977.93124719095
418,151469.49528590235
422,387352.6057869228
427,302247.1170200511
431,372833.5404830779
433,438777.65532653
437,320753.8906911897
438,272133.71119812794
442,320586.2073212502
447,213270.9297865873
459,305329.821360389
460,261584.84597200036
464,203428.60561132347
465,205217.14965491858
467,185729.57671354152
468,181230.91381078187
474,193532.13595722843
480,211446.84143769997
481,215206.53799020746
483,226348.420303347
488,194588.06429534132
492,187422.49445461386
494,193358.95426665508
499,303869.0461809668
500,255575.71506181793
501,297104.67689055606
503,243161.92120499155
506,224525.0263834212
508,263008.1169154741
511,289113.96283971926
515,238867.97167251783
519,236579.15252311894
521,286120.3990250334
530,232698.4145469786
532,224073.7614663332
534,192505.29514769383
540,190127.57664909412
541,119799.29691889553
551,161576.48257712816
552,193950.06099328795
554,110076.76826012396
555,113195.51568412529
556,137798.7085448545
557,122288.0642565754
565,232278.1276270933
566,282141.72230289236
567,155943.00430406418
569,203909.42891857075
570,196847.94818315768
574,236853.22474016756
575,270249.48637464864
576,227382.57568300684
577,213856.13310338286
578,237968.7352816017
583,237316.0033866245
584,237973.38856412756
585,172596.63980887027
587,195956.10923483717
593,226603.5617902235
597,226938.02093886217
598,177211.865819814
599,171351.59162824904
600,111372.0278469107
605,170096.40140257328
607,160509.14822632322
608,165787.05379580497
611,183344.43229738006
616,113510.43829845497
625,183722.92471533644
629,174775.84493454976
630,128165.90979339124
631,125878.29287349965
640,181557.56509998266
642,155028.2162557824
643,131112.37928140786
646,105129.98878899735
647,163724.29905372692
655,55415.840668804594
659,106216.51661384541
663,14504.793496134895
665,93750.31626313714
667,225655.00713029795
673,148255.6370007958
676,119898.39802532656
680,140628.7151706775
682,126185.22635656198
687,161718.44063255648
688,165908.7150606901
692,138377.3097506258
693,111924.825105874
695,175851.73947226047
697,125029.41916959117
700,148031.8044762934
702,148131.1892693065
703,175131.58932973034
704,87097.03443988028
712,81829.89555438173
713,95250.09810484867
717,253837.18912589928
720,208076.81459102881
721,58623.76263371069
726,169436.59510646368
733,108847.38619733862
736,122683.2223352731
738,98265.55662871529
741,122293.88559329114
743,29571.056781214866
745,107039.66042120437
750,153965.60937482398
756,90095.17890406073
757,140481.2689303748
758,169968.7325647655
760,66585.87227894925
765,138743.96194482245
775,135344.49618913737
776,129000.13970388759
780,160956.5897826461
783,179212.34681702973
790,107070.35516995589
795,79419.81566260029
796,124592.26441997134
797,159106.25020851503
798,120598.67382191584
804,218467.16572741923
805,232265.77665337225
806,256593.94852497766
808,148037.41278855148
814,177996.01414522465
818,304441.7788448617
821,270734.41095937544
822,317734.5658196721
825,294792.05494332523
827,253715.6209278048
830,209302.66607844149
834,228864.61484962885
835,166490.22053702746
842,144297.130658963
845,210704.64638406446
852,214034.20259061718
857,130939.62162602303
858,130372.25821602318
859,121069.01382561693
860,137866.58285861815
861,126250.42248732853
864,260956.91498594073
868,199162.22168893713
869,210250.46485256907
872,282968.46938399307
873,229354.4816878398
885,111789.92775508543
890,107663.96068687538
895,84405.15592510792
899,71207.5937205463
906,136698.64095948252
918,151413.726002834
923,132227.95902497257
925,113205.32111347686
927,119564.6239213247
932,200485.08001540555
933,149982.74184120438
934,166910.64944764477
942,91015.76916306584
947,269334.071947144
948,261897.45546644926
951,154344.83304138502
957,257766.24613694393
958,305104.80084639444
959,206738.4502796058
963,197103.63821497548
967,222278.27205289734
968,326506.29929050227
971,173218.2319750075
972,173672.87195242842
976,89994.42782874797
978,78569.26445259723
979,106690.03229226045
984,105699.19554076201
986,151732.67475634947
991,222028.59878046473
996,211357.86933333892
1001,254421.53093839894
1007,214137.39999599822
1008,181058.28324899985
1009,222528.5512441981
1014,175749.10142499913
1022,237011.74188096818
1024,177532.81067904623
1027,134352.0628711905
1030,169927.51168492518
1032,166744.03079866598
1035,155206.87003052764
1042,133828.79115512964
1047,149297.95226520952
1050,105793.33074400187
1055,272168.4657903888
1059,368411.7004599581
1061,340801.82825821044
1064,417470.0183792793
1077,230094.33560577314
1081,242068.72640275376
1092,225932.3513252622
1093,195768.29037797768
1095,218521.8532096468
1099,260054.59048697294
1101,289350.07892848086
1103,304758.6638609251
1109,248320.73142957347
1112,220140.8193173175
1113,261896.58422006693
1114,251816.7649498132
1116,257336.068471794
1117,204062.8785673142
1119,275906.80235781986
1121,225874.06807829486
1122,200068.46031262842
1125,258837.25973804813
1137,179759.68504111175
1142,220708.36284089368
1144,188770.51638499968
1145,205637.28202837825
1147,184415.42621821386
1148,190942.48806871017
1149,164890.78037654556
1150,116489.27300766381
1153,116758.99061921138
1154,105812.24688495332
1159,341156.4536427611
1161,180353.09888182784
1167,177370.9376766217
1171,276209.83398413006
1174,189773.48038866202
1188,195025.22791516813
1189,173841.19863117867
1191,149786.2893132477
1195,137142.3861412944
1199,191532.87836656638
1201,191556.03729974598
1204,217950.75627580672
1211,161320.19901444085
1214,166234.4636779259
1219,135963.47629447875
1220,50887.99925171277
1227,191437.4814156964
1229,223161.75065584487
1231,131653.81618571765
1234,208064.79024427998
1235,119891.14412004461
1239,160341.86841725634
1240,165399.38169789963
1241,186890.63936170517
1246,90095.6142398339
1249,183305.26797738462
1250,123865.30931026582
1252,147443.06040708665
1259,166902.004809275
1267,120491.6410549529
1269,111743.05866730871
1270,138797.3540754189
1272,115681.01508582353
1274,140656.28644217394
1276,118816.54515796098
1279,138595.04565894874
1281,181033.62616133186
1286,152741.57716289343
1287,135706.2464097582
1290,77449.89036039189
1291,142719.2695185388
1297,180515.59988227536
1302,150687.38835495515
1303,23564.058778406965
1312,100217.29051034762
1315,113174.65662328053
1322,44447.730283080455
1327,101815.34910516578
1331,127190.91505833209
1333,128800.3177884928
1334,126293.98582870116
1336,126600.87777875262
1341,121620.81017390382
1344,101684.97304205774
1347,138118.4089089831
1348,196179.7020861677
1353,169814.0807411665
1355,133134.27305227716
1356,121389.59516980182
1357,165542.45298486765
1361,139202.65206097596
1364,133963.6017002524
1368,123376.12570880017
1369,106791.94182782502
1371,137227.59718092837
1373,126743.25834632394
1374,115543.6990670221
1387,130379.46208928537
1388,91818.7388059789
1392,150788.72723529462
1394,132046.89740641663
1406,159789.2779265507
1407,206688.16972205936
1408,155188.0434091414
1409,160613.00203028752
1411,148294.74405334317
1412,101709.40992872391
1413,147244.75787432524
1414,105459.2775993633
1425,266087.4066745741
1430,182360.96049530973
1431,192135.10750815333
1435,228153.26206184633
1441,231358.78086238913
1444,221011.2205149575
1445,116482.30620834883
1446,127468.21521143065
1452,110700.18064142625
1453,111077.04306659401
1456,243233.5581201903
1457,237309.9194685918
1460,263318.61593867897
1463,271090.8994180654
1468,229818.5673040762
1471,209946.10342728836
1474,217800.03873303492
1475,201770.63747547538
1476,225152.9590922804
1478,216344.61579670667
1482,165375.03218542063
1483,165375.03218542063
1484,164802.76302747458
1485,168085.06027249468
1496,173364.03787575438
1497,143591.90018796397
1500,165333.5395871595
1506,96612.35031041621
1507,106469.53279298249
1509,121384.17546871405
1510,107569.89232000543
1513,103344.53198648363
1517,130681.32953532954
1518,166566.9589492413
1523,192448.1998724051
1524,133901.47168727644
1526,143985.6341684865
1529,199130.80536738224
1531,152162.17570589558
1535,104918.90381403021
1536,138095.53008888068
1538,335243.20813968335
1540,236627.1649959697
1543,155156.66832161526
1545,125862.91355562024
1546,129919.96950698603
1557,82960.23537527167
1558,90856.93452590273
1559,61334.763041889775
1563,265112.23039336293
1568,189220.54780347343
1571,200364.16588440962
1578,152245.74699261758
1579,208511.0297557243
1584,254309.2070711983
1586,315930.11519398226
